Profile size: 20 	 N: 1 	 Result: 0.48148148148148145
Profile size: 20 	 N: 2 	 Result: 0.4444444444444444
Profile size: 20 	 N: 3 	 Result: 0.4938271604938271
Profile size: 20 	 N: 4 	 Result: 0.40740740740740733
Profile size: 20 	 N: 5 	 Result: 0.23456790123456792
Profile size: 20 	 N: 6 	 Result: 0.12345679012345682
Profile size: 20 	 N: 7 	 Result: 0.12345679012345682
Profile size: 20 	 N: 8 	 Result: 0.1234567901234568
Profile size: 20 	 N: 9 	 Result: 0.11111111111111113
Profile size: 20 	 N: 10 	 Result: 0.11111111111111113
Profile size: 50 	 N: 1 	 Result: 0.6049382716049382
Profile size: 50 	 N: 2 	 Result: 0.6049382716049383
Profile size: 50 	 N: 3 	 Result: 0.5555555555555556
Profile size: 50 	 N: 4 	 Result: 0.40740740740740744
Profile size: 50 	 N: 5 	 Result: 0.14814814814814814
Profile size: 50 	 N: 6 	 Result: 0.12345679012345682
Profile size: 50 	 N: 7 	 Result: 0.11111111111111113
Profile size: 50 	 N: 8 	 Result: 0.11111111111111113
Profile size: 50 	 N: 9 	 Result: 0.11111111111111113
Profile size: 50 	 N: 10 	 Result: 0.11111111111111113
Profile size: 100 	 N: 1 	 Result: 0.6543209876543209
Profile size: 100 	 N: 2 	 Result: 0.654320987654321
Profile size: 100 	 N: 3 	 Result: 0.6419753086419753
Profile size: 100 	 N: 4 	 Result: 0.3950617283950617
Profile size: 100 	 N: 5 	 Result: 0.14814814814814814
Profile size: 100 	 N: 6 	 Result: 0.12345679012345682
Profile size: 100 	 N: 7 	 Result: 0.11111111111111113
Profile size: 100 	 N: 8 	 Result: 0.11111111111111113
Profile size: 100 	 N: 9 	 Result: 0.11111111111111113
Profile size: 100 	 N: 10 	 Result: 0.11111111111111113
Profile size: 200 	 N: 1 	 Result: 0.6543209876543209
Profile size: 200 	 N: 2 	 Result: 0.7654320987654321
Profile size: 200 	 N: 3 	 Result: 0.654320987654321
Profile size: 200 	 N: 4 	 Result: 0.3580246913580247
Profile size: 200 	 N: 5 	 Result: 0.1358024691358025
Profile size: 200 	 N: 6 	 Result: 0.11111111111111113
Profile size: 200 	 N: 7 	 Result: 0.11111111111111113
Profile size: 200 	 N: 8 	 Result: 0.11111111111111113
Profile size: 200 	 N: 9 	 Result: 0.11111111111111113
Profile size: 200 	 N: 10 	 Result: 0.11111111111111113
Profile size: 500 	 N: 1 	 Result: 0.6543209876543209
Profile size: 500 	 N: 2 	 Result: 0.802469135802469
Profile size: 500 	 N: 3 	 Result: 0.7530864197530863
Profile size: 500 	 N: 4 	 Result: 0.3209876543209877
Profile size: 500 	 N: 5 	 Result: 0.1358024691358025
Profile size: 500 	 N: 6 	 Result: 0.11111111111111113
Profile size: 500 	 N: 7 	 Result: 0.11111111111111113
Profile size: 500 	 N: 8 	 Result: 0.11111111111111113
Profile size: 500 	 N: 9 	 Result: 0.11111111111111113
Profile size: 500 	 N: 10 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 1 	 Result: 0.6543209876543209
Profile size: 1000 	 N: 2 	 Result: 0.7777777777777777
Profile size: 1000 	 N: 3 	 Result: 0.7901234567901234
Profile size: 1000 	 N: 4 	 Result: 0.29629629629629634
Profile size: 1000 	 N: 5 	 Result: 0.1358024691358025
Profile size: 1000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 1 	 Result: 0.6543209876543209
Profile size: 1500 	 N: 2 	 Result: 0.7901234567901235
Profile size: 1500 	 N: 3 	 Result: 0.7160493827160495
Profile size: 1500 	 N: 4 	 Result: 0.28395061728395066
Profile size: 1500 	 N: 5 	 Result: 0.12345679012345682
Profile size: 1500 	 N: 6 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 7 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 8 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 9 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 10 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 1 	 Result: 0.6543209876543209
Profile size: 2000 	 N: 2 	 Result: 0.7901234567901235
Profile size: 2000 	 N: 3 	 Result: 0.7037037037037037
Profile size: 2000 	 N: 4 	 Result: 0.28395061728395066
Profile size: 2000 	 N: 5 	 Result: 0.12345679012345682
Profile size: 2000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 1 	 Result: 0.6543209876543209
Profile size: 3000 	 N: 2 	 Result: 0.7901234567901235
Profile size: 3000 	 N: 3 	 Result: 0.6049382716049383
Profile size: 3000 	 N: 4 	 Result: 0.29629629629629634
Profile size: 3000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 1 	 Result: 0.6543209876543209
Profile size: 4000 	 N: 2 	 Result: 0.7901234567901235
Profile size: 4000 	 N: 3 	 Result: 0.5555555555555556
Profile size: 4000 	 N: 4 	 Result: 0.28395061728395066
Profile size: 4000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 1 	 Result: 0.6543209876543209
Profile size: 5000 	 N: 2 	 Result: 0.7901234567901235
Profile size: 5000 	 N: 3 	 Result: 0.5555555555555556
Profile size: 5000 	 N: 4 	 Result: 0.28395061728395066
Profile size: 5000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 10 	 Result: 0.11111111111111113
