Profile size: 20 	 N: 1 	 Result: 0.11111111111111113
Profile size: 20 	 N: 2 	 Result: 0.19753086419753088
Profile size: 20 	 N: 3 	 Result: 0.28395061728395066
Profile size: 20 	 N: 4 	 Result: 0.308641975308642
Profile size: 20 	 N: 5 	 Result: 0.3333333333333333
Profile size: 20 	 N: 6 	 Result: 0.419753086419753
Profile size: 20 	 N: 7 	 Result: 0.33333333333333337
Profile size: 20 	 N: 8 	 Result: 0.3209876543209876
Profile size: 20 	 N: 9 	 Result: 0.308641975308642
Profile size: 20 	 N: 10 	 Result: 0.2962962962962963
Profile size: 50 	 N: 1 	 Result: 0.23456790123456786
Profile size: 50 	 N: 2 	 Result: 0.37037037037037035
Profile size: 50 	 N: 3 	 Result: 0.3703703703703704
Profile size: 50 	 N: 4 	 Result: 0.38271604938271603
Profile size: 50 	 N: 5 	 Result: 0.4320987654320988
Profile size: 50 	 N: 6 	 Result: 0.46913580246913583
Profile size: 50 	 N: 7 	 Result: 0.40740740740740744
Profile size: 50 	 N: 8 	 Result: 0.37037037037037046
Profile size: 50 	 N: 9 	 Result: 0.37037037037037046
Profile size: 50 	 N: 10 	 Result: 0.40740740740740744
Profile size: 100 	 N: 1 	 Result: 0.2592592592592593
Profile size: 100 	 N: 2 	 Result: 0.2592592592592593
Profile size: 100 	 N: 3 	 Result: 0.5679012345679012
Profile size: 100 	 N: 4 	 Result: 0.5185185185185186
Profile size: 100 	 N: 5 	 Result: 0.5308641975308642
Profile size: 100 	 N: 6 	 Result: 0.5308641975308643
Profile size: 100 	 N: 7 	 Result: 0.54320987654321
Profile size: 100 	 N: 8 	 Result: 0.5185185185185185
Profile size: 100 	 N: 9 	 Result: 0.44444444444444453
Profile size: 100 	 N: 10 	 Result: 0.3950617283950617
Profile size: 200 	 N: 1 	 Result: 0.23456790123456792
Profile size: 200 	 N: 2 	 Result: 0.5185185185185185
Profile size: 200 	 N: 3 	 Result: 0.54320987654321
Profile size: 200 	 N: 4 	 Result: 0.5925925925925926
Profile size: 200 	 N: 5 	 Result: 0.5925925925925926
Profile size: 200 	 N: 6 	 Result: 0.5185185185185185
Profile size: 200 	 N: 7 	 Result: 0.5308641975308643
Profile size: 200 	 N: 8 	 Result: 0.4938271604938272
Profile size: 200 	 N: 9 	 Result: 0.4197530864197532
Profile size: 200 	 N: 10 	 Result: 0.4444444444444444
Profile size: 500 	 N: 1 	 Result: 0.23456790123456792
Profile size: 500 	 N: 2 	 Result: 0.45679012345679015
Profile size: 500 	 N: 3 	 Result: 0.6790123456790123
Profile size: 500 	 N: 4 	 Result: 0.6049382716049383
Profile size: 500 	 N: 5 	 Result: 0.5802469135802469
Profile size: 500 	 N: 6 	 Result: 0.6419753086419753
Profile size: 500 	 N: 7 	 Result: 0.6172839506172839
Profile size: 500 	 N: 8 	 Result: 0.5308641975308642
Profile size: 500 	 N: 9 	 Result: 0.5802469135802469
Profile size: 500 	 N: 10 	 Result: 0.45679012345679015
Profile size: 1000 	 N: 1 	 Result: 0.23456790123456792
Profile size: 1000 	 N: 2 	 Result: 0.5432098765432098
Profile size: 1000 	 N: 3 	 Result: 0.6790123456790123
Profile size: 1000 	 N: 4 	 Result: 0.6543209876543209
Profile size: 1000 	 N: 5 	 Result: 0.6790123456790123
Profile size: 1000 	 N: 6 	 Result: 0.5925925925925926
Profile size: 1000 	 N: 7 	 Result: 0.5802469135802469
Profile size: 1000 	 N: 8 	 Result: 0.5802469135802469
Profile size: 1000 	 N: 9 	 Result: 0.5308641975308642
Profile size: 1000 	 N: 10 	 Result: 0.5308641975308642
Profile size: 1500 	 N: 1 	 Result: 0.23456790123456792
Profile size: 1500 	 N: 2 	 Result: 0.2592592592592593
Profile size: 1500 	 N: 3 	 Result: 0.6666666666666666
Profile size: 1500 	 N: 4 	 Result: 0.6543209876543209
Profile size: 1500 	 N: 5 	 Result: 0.6666666666666666
Profile size: 1500 	 N: 6 	 Result: 0.6172839506172838
Profile size: 1500 	 N: 7 	 Result: 0.5555555555555556
Profile size: 1500 	 N: 8 	 Result: 0.5555555555555555
Profile size: 1500 	 N: 9 	 Result: 0.5555555555555556
Profile size: 1500 	 N: 10 	 Result: 0.5555555555555557
Profile size: 2000 	 N: 1 	 Result: 0.23456790123456792
Profile size: 2000 	 N: 2 	 Result: 0.14814814814814817
Profile size: 2000 	 N: 3 	 Result: 0.5802469135802468
Profile size: 2000 	 N: 4 	 Result: 0.654320987654321
Profile size: 2000 	 N: 5 	 Result: 0.654320987654321
Profile size: 2000 	 N: 6 	 Result: 0.5679012345679012
Profile size: 2000 	 N: 7 	 Result: 0.5802469135802469
Profile size: 2000 	 N: 8 	 Result: 0.5679012345679013
Profile size: 2000 	 N: 9 	 Result: 0.5802469135802469
Profile size: 2000 	 N: 10 	 Result: 0.5308641975308642
Profile size: 3000 	 N: 1 	 Result: 0.23456790123456792
Profile size: 3000 	 N: 2 	 Result: 0.14814814814814817
Profile size: 3000 	 N: 3 	 Result: 0.4567901234567901
Profile size: 3000 	 N: 4 	 Result: 0.6296296296296295
Profile size: 3000 	 N: 5 	 Result: 0.5925925925925926
Profile size: 3000 	 N: 6 	 Result: 0.5555555555555556
Profile size: 3000 	 N: 7 	 Result: 0.5555555555555556
Profile size: 3000 	 N: 8 	 Result: 0.5802469135802468
Profile size: 3000 	 N: 9 	 Result: 0.5555555555555556
Profile size: 3000 	 N: 10 	 Result: 0.5185185185185185
Profile size: 4000 	 N: 1 	 Result: 0.23456790123456792
Profile size: 4000 	 N: 2 	 Result: 0.14814814814814817
Profile size: 4000 	 N: 3 	 Result: 0.4444444444444444
Profile size: 4000 	 N: 4 	 Result: 0.5185185185185186
Profile size: 4000 	 N: 5 	 Result: 0.5308641975308642
Profile size: 4000 	 N: 6 	 Result: 0.5679012345679012
Profile size: 4000 	 N: 7 	 Result: 0.5308641975308642
Profile size: 4000 	 N: 8 	 Result: 0.4938271604938272
Profile size: 4000 	 N: 9 	 Result: 0.5308641975308642
Profile size: 4000 	 N: 10 	 Result: 0.4938271604938271
Profile size: 5000 	 N: 1 	 Result: 0.23456790123456792
Profile size: 5000 	 N: 2 	 Result: 0.14814814814814817
Profile size: 5000 	 N: 3 	 Result: 0.3209876543209877
Profile size: 5000 	 N: 4 	 Result: 0.48148148148148145
Profile size: 5000 	 N: 5 	 Result: 0.5185185185185186
Profile size: 5000 	 N: 6 	 Result: 0.5061728395061729
Profile size: 5000 	 N: 7 	 Result: 0.45679012345679015
Profile size: 5000 	 N: 8 	 Result: 0.48148148148148145
Profile size: 5000 	 N: 9 	 Result: 0.48148148148148145
Profile size: 5000 	 N: 10 	 Result: 0.48148148148148157
