Profile size: 20 	 N: 1 	 Result: 0.54320987654321
Profile size: 20 	 N: 2 	 Result: 0.4320987654320988
Profile size: 20 	 N: 3 	 Result: 0.4938271604938271
Profile size: 20 	 N: 4 	 Result: 0.4938271604938272
Profile size: 20 	 N: 5 	 Result: 0.45679012345679015
Profile size: 20 	 N: 6 	 Result: 0.308641975308642
Profile size: 20 	 N: 7 	 Result: 0.2469135802469136
Profile size: 20 	 N: 8 	 Result: 0.2222222222222222
Profile size: 20 	 N: 9 	 Result: 0.19753086419753085
Profile size: 20 	 N: 10 	 Result: 0.23456790123456792
Profile size: 50 	 N: 1 	 Result: 0.5925925925925924
Profile size: 50 	 N: 2 	 Result: 0.6049382716049382
Profile size: 50 	 N: 3 	 Result: 0.54320987654321
Profile size: 50 	 N: 4 	 Result: 0.48148148148148145
Profile size: 50 	 N: 5 	 Result: 0.5555555555555556
Profile size: 50 	 N: 6 	 Result: 0.30864197530864196
Profile size: 50 	 N: 7 	 Result: 0.20987654320987653
Profile size: 50 	 N: 8 	 Result: 0.19753086419753085
Profile size: 50 	 N: 9 	 Result: 0.2222222222222222
Profile size: 50 	 N: 10 	 Result: 0.20987654320987653
Profile size: 100 	 N: 1 	 Result: 0.5802469135802468
Profile size: 100 	 N: 2 	 Result: 0.691358024691358
Profile size: 100 	 N: 3 	 Result: 0.6666666666666666
Profile size: 100 	 N: 4 	 Result: 0.5925925925925926
Profile size: 100 	 N: 5 	 Result: 0.5555555555555556
Profile size: 100 	 N: 6 	 Result: 0.33333333333333337
Profile size: 100 	 N: 7 	 Result: 0.2592592592592593
Profile size: 100 	 N: 8 	 Result: 0.2592592592592593
Profile size: 100 	 N: 9 	 Result: 0.20987654320987653
Profile size: 100 	 N: 10 	 Result: 0.18518518518518517
Profile size: 200 	 N: 1 	 Result: 0.5802469135802468
Profile size: 200 	 N: 2 	 Result: 0.8271604938271605
Profile size: 200 	 N: 3 	 Result: 0.7160493827160493
Profile size: 200 	 N: 4 	 Result: 0.6666666666666666
Profile size: 200 	 N: 5 	 Result: 0.5802469135802468
Profile size: 200 	 N: 6 	 Result: 0.3950617283950617
Profile size: 200 	 N: 7 	 Result: 0.2716049382716049
Profile size: 200 	 N: 8 	 Result: 0.2222222222222222
Profile size: 200 	 N: 9 	 Result: 0.19753086419753085
Profile size: 200 	 N: 10 	 Result: 0.1728395061728395
Profile size: 500 	 N: 1 	 Result: 0.5802469135802468
Profile size: 500 	 N: 2 	 Result: 0.7777777777777778
Profile size: 500 	 N: 3 	 Result: 0.839506172839506
Profile size: 500 	 N: 4 	 Result: 0.728395061728395
Profile size: 500 	 N: 5 	 Result: 0.654320987654321
Profile size: 500 	 N: 6 	 Result: 0.4567901234567901
Profile size: 500 	 N: 7 	 Result: 0.2592592592592593
Profile size: 500 	 N: 8 	 Result: 0.20987654320987653
Profile size: 500 	 N: 9 	 Result: 0.18518518518518517
Profile size: 500 	 N: 10 	 Result: 0.14814814814814817
Profile size: 1000 	 N: 1 	 Result: 0.5802469135802468
Profile size: 1000 	 N: 2 	 Result: 0.7901234567901234
Profile size: 1000 	 N: 3 	 Result: 0.8271604938271604
Profile size: 1000 	 N: 4 	 Result: 0.7530864197530865
Profile size: 1000 	 N: 5 	 Result: 0.7037037037037037
Profile size: 1000 	 N: 6 	 Result: 0.5308641975308643
Profile size: 1000 	 N: 7 	 Result: 0.29629629629629634
Profile size: 1000 	 N: 8 	 Result: 0.2222222222222222
Profile size: 1000 	 N: 9 	 Result: 0.18518518518518517
Profile size: 1000 	 N: 10 	 Result: 0.14814814814814817
Profile size: 1500 	 N: 1 	 Result: 0.5802469135802468
Profile size: 1500 	 N: 2 	 Result: 0.7901234567901234
Profile size: 1500 	 N: 3 	 Result: 0.802469135802469
Profile size: 1500 	 N: 4 	 Result: 0.7530864197530865
Profile size: 1500 	 N: 5 	 Result: 0.7037037037037037
Profile size: 1500 	 N: 6 	 Result: 0.5679012345679013
Profile size: 1500 	 N: 7 	 Result: 0.3333333333333333
Profile size: 1500 	 N: 8 	 Result: 0.23456790123456786
Profile size: 1500 	 N: 9 	 Result: 0.1728395061728395
Profile size: 1500 	 N: 10 	 Result: 0.16049382716049385
Profile size: 2000 	 N: 1 	 Result: 0.5802469135802468
Profile size: 2000 	 N: 2 	 Result: 0.7901234567901234
Profile size: 2000 	 N: 3 	 Result: 0.8271604938271605
Profile size: 2000 	 N: 4 	 Result: 0.7407407407407407
Profile size: 2000 	 N: 5 	 Result: 0.691358024691358
Profile size: 2000 	 N: 6 	 Result: 0.5802469135802469
Profile size: 2000 	 N: 7 	 Result: 0.382716049382716
Profile size: 2000 	 N: 8 	 Result: 0.271604938271605
Profile size: 2000 	 N: 9 	 Result: 0.1728395061728395
Profile size: 2000 	 N: 10 	 Result: 0.16049382716049385
Profile size: 3000 	 N: 1 	 Result: 0.5802469135802468
Profile size: 3000 	 N: 2 	 Result: 0.7901234567901234
Profile size: 3000 	 N: 3 	 Result: 0.8148148148148147
Profile size: 3000 	 N: 4 	 Result: 0.7407407407407407
Profile size: 3000 	 N: 5 	 Result: 0.7037037037037036
Profile size: 3000 	 N: 6 	 Result: 0.6049382716049383
Profile size: 3000 	 N: 7 	 Result: 0.3827160493827161
Profile size: 3000 	 N: 8 	 Result: 0.2839506172839506
Profile size: 3000 	 N: 9 	 Result: 0.1728395061728395
Profile size: 3000 	 N: 10 	 Result: 0.16049382716049382
Profile size: 4000 	 N: 1 	 Result: 0.5802469135802468
Profile size: 4000 	 N: 2 	 Result: 0.7901234567901234
Profile size: 4000 	 N: 3 	 Result: 0.7901234567901233
Profile size: 4000 	 N: 4 	 Result: 0.7407407407407407
Profile size: 4000 	 N: 5 	 Result: 0.691358024691358
Profile size: 4000 	 N: 6 	 Result: 0.6172839506172839
Profile size: 4000 	 N: 7 	 Result: 0.44444444444444436
Profile size: 4000 	 N: 8 	 Result: 0.271604938271605
Profile size: 4000 	 N: 9 	 Result: 0.1728395061728395
Profile size: 4000 	 N: 10 	 Result: 0.14814814814814817
Profile size: 5000 	 N: 1 	 Result: 0.5802469135802468
Profile size: 5000 	 N: 2 	 Result: 0.7901234567901234
Profile size: 5000 	 N: 3 	 Result: 0.7901234567901233
Profile size: 5000 	 N: 4 	 Result: 0.7407407407407407
Profile size: 5000 	 N: 5 	 Result: 0.691358024691358
Profile size: 5000 	 N: 6 	 Result: 0.6172839506172839
Profile size: 5000 	 N: 7 	 Result: 0.44444444444444436
Profile size: 5000 	 N: 8 	 Result: 0.2716049382716049
Profile size: 5000 	 N: 9 	 Result: 0.1728395061728395
Profile size: 5000 	 N: 10 	 Result: 0.14814814814814817
