Profile size: 20 	 N: 1 	 Result: 0.3950617283950618
Profile size: 20 	 N: 2 	 Result: 0.4444444444444444
Profile size: 20 	 N: 3 	 Result: 0.43209876543209874
Profile size: 20 	 N: 4 	 Result: 0.2716049382716049
Profile size: 20 	 N: 5 	 Result: 0.14814814814814814
Profile size: 20 	 N: 6 	 Result: 0.12345679012345682
Profile size: 20 	 N: 7 	 Result: 0.12345679012345682
Profile size: 20 	 N: 8 	 Result: 0.11111111111111113
Profile size: 20 	 N: 9 	 Result: 0.11111111111111113
Profile size: 20 	 N: 10 	 Result: 0.11111111111111113
Profile size: 50 	 N: 1 	 Result: 0.3703703703703704
Profile size: 50 	 N: 2 	 Result: 0.5555555555555556
Profile size: 50 	 N: 3 	 Result: 0.4938271604938272
Profile size: 50 	 N: 4 	 Result: 0.2469135802469136
Profile size: 50 	 N: 5 	 Result: 0.1358024691358025
Profile size: 50 	 N: 6 	 Result: 0.12345679012345682
Profile size: 50 	 N: 7 	 Result: 0.11111111111111113
Profile size: 50 	 N: 8 	 Result: 0.11111111111111113
Profile size: 50 	 N: 9 	 Result: 0.11111111111111113
Profile size: 50 	 N: 10 	 Result: 0.11111111111111113
Profile size: 100 	 N: 1 	 Result: 0.37037037037037035
Profile size: 100 	 N: 2 	 Result: 0.48148148148148145
Profile size: 100 	 N: 3 	 Result: 0.5802469135802468
Profile size: 100 	 N: 4 	 Result: 0.17283950617283952
Profile size: 100 	 N: 5 	 Result: 0.12345679012345682
Profile size: 100 	 N: 6 	 Result: 0.11111111111111113
Profile size: 100 	 N: 7 	 Result: 0.11111111111111113
Profile size: 100 	 N: 8 	 Result: 0.11111111111111113
Profile size: 100 	 N: 9 	 Result: 0.11111111111111113
Profile size: 100 	 N: 10 	 Result: 0.11111111111111113
Profile size: 200 	 N: 1 	 Result: 0.34567901234567905
Profile size: 200 	 N: 2 	 Result: 0.6296296296296297
Profile size: 200 	 N: 3 	 Result: 0.4938271604938272
Profile size: 200 	 N: 4 	 Result: 0.19753086419753085
Profile size: 200 	 N: 5 	 Result: 0.12345679012345682
Profile size: 200 	 N: 6 	 Result: 0.11111111111111113
Profile size: 200 	 N: 7 	 Result: 0.11111111111111113
Profile size: 200 	 N: 8 	 Result: 0.11111111111111113
Profile size: 200 	 N: 9 	 Result: 0.11111111111111113
Profile size: 200 	 N: 10 	 Result: 0.11111111111111113
Profile size: 500 	 N: 1 	 Result: 0.34567901234567905
Profile size: 500 	 N: 2 	 Result: 0.6419753086419752
Profile size: 500 	 N: 3 	 Result: 0.6049382716049382
Profile size: 500 	 N: 4 	 Result: 0.14814814814814817
Profile size: 500 	 N: 5 	 Result: 0.12345679012345682
Profile size: 500 	 N: 6 	 Result: 0.11111111111111113
Profile size: 500 	 N: 7 	 Result: 0.11111111111111113
Profile size: 500 	 N: 8 	 Result: 0.11111111111111113
Profile size: 500 	 N: 9 	 Result: 0.11111111111111113
Profile size: 500 	 N: 10 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 1 	 Result: 0.34567901234567905
Profile size: 1000 	 N: 2 	 Result: 0.4444444444444444
Profile size: 1000 	 N: 3 	 Result: 0.54320987654321
Profile size: 1000 	 N: 4 	 Result: 0.1358024691358025
Profile size: 1000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 1 	 Result: 0.34567901234567905
Profile size: 1500 	 N: 2 	 Result: 0.1234567901234568
Profile size: 1500 	 N: 3 	 Result: 0.5679012345679012
Profile size: 1500 	 N: 4 	 Result: 0.1358024691358025
Profile size: 1500 	 N: 5 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 6 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 7 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 8 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 9 	 Result: 0.11111111111111113
Profile size: 1500 	 N: 10 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 1 	 Result: 0.34567901234567905
Profile size: 2000 	 N: 2 	 Result: 0.1234567901234568
Profile size: 2000 	 N: 3 	 Result: 0.46913580246913583
Profile size: 2000 	 N: 4 	 Result: 0.1358024691358025
Profile size: 2000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 2000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 1 	 Result: 0.34567901234567905
Profile size: 3000 	 N: 2 	 Result: 0.1234567901234568
Profile size: 3000 	 N: 3 	 Result: 0.30864197530864196
Profile size: 3000 	 N: 4 	 Result: 0.12345679012345682
Profile size: 3000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 3000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 1 	 Result: 0.34567901234567905
Profile size: 4000 	 N: 2 	 Result: 0.1234567901234568
Profile size: 4000 	 N: 3 	 Result: 0.2469135802469136
Profile size: 4000 	 N: 4 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 4000 	 N: 10 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 1 	 Result: 0.34567901234567905
Profile size: 5000 	 N: 2 	 Result: 0.1234567901234568
Profile size: 5000 	 N: 3 	 Result: 0.12345679012345682
Profile size: 5000 	 N: 4 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 5 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 6 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 7 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 8 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 9 	 Result: 0.11111111111111113
Profile size: 5000 	 N: 10 	 Result: 0.11111111111111113
